origin,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Luliang,Hohhot,Baotou,Wuhai,Chifeng,Tongliao,Erdos,Hulunbeir,Bayannaoer,Ulanchabu,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Baicheng,Harbin,Qiqihar,Jixi,Hegang,Shuangyashan,Daqing,Yichun1,Jiamusi,Qitaihe,Mudanjiang,Heihe,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou1,Nantong,Lianyungang,Huaian,Yancheng,Yangzhou,Zhenjiang,Taizhou4,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou2,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou4,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou2,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,JiAn,Yichun2,Fuzhou3,Shangrao,JiNan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Jieyang,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin4,Baise,Hezhou,Hechi,Laibin,Chongzuo,Haikou,Sanya,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,GuangAn,Dazhou,Yaan,Bazhong,Ziyang,Guiyang,Zunyi,Kunming,Qujing,Yuxi,Baoshan,Zhaotong,Lijiang,Simao,Lincang,XiAn,Tongchuan,Baoji,Xianyang,Weinan,YanAn,Hanzhong,Yulin2,Ankang,Shangluo,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Wuwei,Zhangye,Pingliang,Jiuquan,Qingyang,Dingxi,Longnan,Xining,Yinchuan,Shizuishan,Wuzhong,Guyuan,Zhongwei,Urumqi,Karamay
Beijing,0.0,1.423,3.274,2.118,3.148,4.597,4.226,2.271,2.619,2.306,2.244,0.953,2.935,4.929,3.569,4.038,6.732,7.359,5.061,5.02,8.392,4.805,7.613,6.416,5.365,7.318,10.291,4.546,7.344,7.171,15.613,9.737,4.1,6.473,8.402,6.422,7.338,7.307,8.155,4.793,6.178,5.786,7.259,5.586,7.398,4.609,4.781,8.924,9.938,8.398,8.617,8.804,9.545,10.813,11.285,11.997,14.85,15.293,16.496,12.033,14.98,14.659,15.75,13.46,17.027,12.205,10.597,10.953,7.769,11.18,12.175,10.783,7.686,8.561,9.475,10.378,11.629,10.474,8.961,12.689,13.72,16.57,12.623,12.697,13.522,14.686,15.094,15.261,16.583,16.313,10.906,11.655,9.241,10.196,10.812,9.058,13.205,12.317,13.819,10.505,9.438,8.031,10.35,7.867,14.391,12.141,19.7,22.045,21.322,18.924,21.039,21.141,18.028,20.001,19.67,14.577,13.667,15.649,13.007,15.593,15.474,18.443,16.274,15.958,16.056,16.381,4.505,6.705,4.432,6.505,4.143,7.263,5.751,5.868,5.523,8.737,7.278,5.174,6.896,3.609,4.637,4.118,6.598,7.58,7.237,7.891,8.067,5.128,6.242,6.16,6.76,5.793,8.026,7.967,8.869,9.78,6.964,9.698,7.924,8.838,11.489,12.309,11.401,13.247,10.357,12.012,11.444,11.99,12.345,12.285,12.816,10.563,14.738,15.489,15.101,16.375,16.251,13.401,13.554,15.32,14.439,17.854,17.155,16.751,15.986,21.994,19.902,22.613,23.348,21.838,22.255,22.924,25.62,25.22,22.034,21.616,20.158,23.955,20.506,23.827,21.897,22.445,22.944,21.259,23.743,21.301,19.962,22.612,25.186,25.525,24.106,23.066,23.669,25.299,21.39,23.532,22.406,25.186,29.416,33.223,16.364,17.915,19.251,26.471,20.393,17.189,16.743,15.124,17.757,19.336,19.115,17.258,19.574,19.76,18.053,15.709,19.197,16.374,18.674,20.34,20.339,25.636,23.893,27.014,31.157,22.604,31.54,28.49,31.093,10.604,10.502,12.911,10.56,10.146,9.111,13.42,7.521,13.7,11.17,14.181,19.117,15.082,14.175,14.784,15.019,17.461,12.543,18.81,11.253,14.553,17.093,16.323,10.903,11.163,10.933,13.656,12.446,30.097,32.881
Tianjin,1.423,0.0,3.255,1.314,2.638,4.577,4.206,2.251,3.894,3.007,1.254,1.043,2.634,5.046,4.59,4.021,6.712,7.34,5.299,5.085,8.457,4.946,7.679,6.484,6.64,8.119,10.566,5.247,7.86,7.446,16.314,10.536,5.375,5.986,7.915,5.935,6.85,6.82,7.668,4.305,5.691,5.478,6.772,5.098,6.911,4.927,4.293,8.653,9.49,8.127,8.13,8.317,9.058,11.514,11.014,12.698,14.425,15.022,16.225,11.842,14.708,14.388,15.332,13.035,16.756,10.957,9.349,9.705,6.736,9.932,10.927,9.535,6.438,7.313,8.227,9.131,10.381,9.226,7.928,11.441,12.472,15.322,11.375,11.449,12.274,13.438,13.846,14.013,15.335,15.065,9.873,10.427,8.208,9.163,9.564,8.025,12.036,11.284,12.571,9.473,8.458,6.999,9.37,6.887,13.358,10.893,18.667,21.012,20.289,17.891,20.007,20.108,16.995,18.968,18.422,13.573,12.635,15.164,12.003,15.026,14.441,17.615,15.446,15.442,15.052,15.272,3.438,5.457,3.184,5.472,2.895,6.016,4.503,4.835,4.49,7.489,6.03,3.926,5.649,2.674,3.657,2.87,5.618,7.421,6.738,7.733,7.836,5.109,6.07,6.002,6.602,5.279,7.545,7.482,8.934,9.295,5.984,9.213,7.401,8.353,10.972,11.792,10.916,12.762,9.872,11.495,10.959,11.505,11.86,11.768,12.299,10.078,14.253,15.004,14.616,15.89,15.765,12.916,13.069,14.835,13.954,17.368,16.67,16.266,15.501,21.433,19.32,22.0,22.788,20.805,21.726,22.364,25.135,24.735,21.549,20.788,19.125,22.941,19.678,23.271,21.412,21.884,22.383,20.227,23.258,20.816,19.477,22.127,24.701,25.039,23.621,22.581,23.183,24.814,20.905,23.047,21.921,24.701,28.931,32.738,15.879,17.98,19.317,26.536,20.458,17.255,16.808,15.19,17.822,19.402,19.18,17.323,19.639,19.825,18.03,15.775,19.263,16.439,18.739,19.855,19.854,25.151,23.408,26.529,30.672,22.669,31.055,28.004,30.608,10.669,10.568,12.976,10.625,10.211,9.176,13.486,7.662,13.597,11.236,14.321,19.258,15.223,14.315,14.849,15.16,17.602,12.609,18.951,11.318,14.618,17.158,16.463,11.043,11.438,11.074,13.738,12.586,30.237,33.021
Shijiazhuang,3.274,3.255,0.0,4.394,5.718,2.395,2.024,2.299,5.17,5.389,2.676,3.33,2.113,2.753,4.953,1.824,4.53,5.157,4.96,2.843,6.216,3.398,5.437,4.24,7.175,8.287,10.689,7.629,10.427,7.446,18.697,10.704,6.116,9.066,10.995,9.015,9.93,9.9,10.748,7.385,8.771,8.558,9.852,8.178,9.991,7.692,7.373,11.733,12.57,11.206,11.21,11.397,12.138,13.896,14.094,15.081,17.504,18.101,19.305,14.922,17.788,17.468,18.412,16.115,19.836,11.176,9.495,9.924,6.361,10.151,11.146,9.754,6.657,7.532,8.446,9.349,10.6,9.445,7.683,11.66,12.691,15.541,11.594,11.668,12.493,13.657,14.065,14.232,15.553,15.284,9.498,10.244,7.833,8.789,9.709,7.65,11.802,10.91,12.477,9.168,7.695,6.624,8.606,6.123,12.983,10.803,18.293,20.516,19.905,17.396,19.511,19.612,16.609,18.473,18.576,12.771,12.26,13.654,11.201,13.809,14.084,16.659,14.491,14.175,14.25,14.973,3.427,6.506,4.283,5.299,4.822,7.563,5.574,4.452,4.316,9.037,6.292,4.253,5.867,2.786,2.893,4.74,4.855,5.378,5.453,5.689,5.865,2.926,4.04,3.958,4.558,4.009,5.833,6.0,6.693,7.817,5.22,7.731,6.14,6.871,9.705,10.525,9.438,11.284,8.395,10.228,9.481,10.023,10.382,10.501,11.03,8.568,12.743,13.494,13.107,14.38,14.288,11.406,11.591,13.357,12.476,15.859,15.192,14.788,14.023,19.999,17.908,20.618,21.354,20.309,20.26,20.93,23.657,23.257,20.039,19.832,18.629,22.251,18.722,21.832,19.902,20.45,20.949,19.731,21.781,19.338,18.0,20.65,23.223,23.562,22.143,21.104,21.706,23.336,19.427,21.57,20.444,23.223,27.453,31.261,14.401,15.738,17.075,24.294,18.216,15.013,14.566,12.948,15.58,17.16,16.938,15.081,17.397,17.583,15.876,13.533,17.021,14.197,16.497,18.377,18.377,23.673,21.93,25.051,29.194,20.427,29.578,26.527,29.13,8.427,8.326,10.734,8.383,7.969,6.934,11.244,5.668,11.523,8.994,12.194,17.131,13.096,12.188,12.607,13.033,15.475,10.367,16.824,9.076,12.376,14.916,14.336,8.916,10.563,8.947,11.496,10.459,28.11,30.894
Tangshan,2.118,1.314,4.394,0.0,1.697,5.56,5.346,3.39,4.408,2.249,2.13,2.072,3.637,6.185,5.359,5.16,7.695,8.285,6.438,6.224,9.597,6.085,8.818,7.624,7.154,9.108,11.705,4.489,6.897,8.586,15.557,11.527,5.89,5.022,6.951,4.971,5.887,5.856,6.704,3.342,4.727,4.514,5.808,4.135,5.947,3.963,3.33,7.689,8.526,7.163,7.166,7.353,8.094,10.681,10.05,11.941,13.461,14.058,15.261,10.879,13.745,13.424,14.368,12.071,15.792,11.725,10.117,10.472,7.613,10.7,11.695,10.302,7.205,8.081,8.995,9.898,11.148,9.993,8.805,12.208,13.24,16.09,12.142,12.216,13.042,14.205,14.613,14.781,16.102,15.833,10.75,11.195,9.085,10.04,10.331,8.902,12.804,12.161,13.339,10.35,9.335,7.875,10.247,7.764,14.194,11.661,19.544,21.889,21.166,18.768,20.883,20.985,17.872,19.845,19.189,14.45,13.511,16.041,12.88,15.903,15.318,18.492,16.323,16.318,15.929,16.039,4.315,6.225,3.952,6.349,3.662,6.783,5.27,5.712,5.367,8.257,6.797,4.694,6.416,3.551,4.534,3.638,6.495,8.297,7.614,8.61,8.712,6.092,6.947,6.878,7.479,6.156,8.422,8.359,9.84,10.171,6.861,10.09,8.278,9.23,11.849,12.669,11.793,13.639,10.749,12.372,11.836,12.382,12.737,12.645,13.176,10.955,15.13,15.88,15.493,16.767,16.642,13.793,13.946,15.712,14.831,18.245,17.546,17.143,16.378,22.31,20.196,22.877,23.664,21.682,22.603,23.24,26.011,25.612,22.426,21.665,20.002,23.818,20.555,24.148,22.288,22.76,23.26,21.103,24.135,21.693,20.354,23.004,25.577,25.916,24.498,23.458,24.06,25.691,21.782,23.924,22.798,25.578,29.808,33.615,16.756,19.119,20.456,27.675,21.598,18.394,17.947,16.329,18.961,20.541,20.319,18.462,20.778,20.964,18.907,16.807,20.402,17.578,19.878,20.731,20.731,26.027,24.285,27.406,31.549,23.808,31.932,28.881,31.484,11.808,11.707,14.115,11.764,11.351,10.315,14.625,8.801,14.473,12.375,15.46,20.397,16.362,15.455,15.988,16.299,18.741,13.748,20.09,12.457,15.757,18.297,17.602,12.182,12.578,12.213,14.877,13.725,31.376,34.16
Qinhuangdao,3.148,2.638,5.718,1.697,0.0,6.884,6.67,4.714,5.438,3.244,3.455,3.396,4.961,7.509,6.389,6.484,9.019,9.609,7.762,7.548,10.921,7.409,10.142,8.948,8.184,10.137,13.029,4.21,5.464,9.91,14.608,12.557,6.919,3.589,5.518,3.538,4.454,4.423,5.271,1.909,3.294,3.081,4.375,2.702,4.514,2.53,1.897,6.256,7.093,5.73,5.733,5.92,6.661,9.248,8.617,10.617,12.028,12.625,13.828,9.446,12.312,11.991,12.935,10.638,14.359,13.049,11.441,11.796,8.937,12.024,13.019,11.626,8.529,9.405,10.319,11.222,12.472,11.317,10.129,13.533,14.564,17.414,13.466,13.54,14.366,15.529,15.938,16.105,17.426,17.157,12.074,12.519,10.409,11.364,11.655,10.226,14.128,13.485,14.663,11.674,10.659,9.199,11.571,9.088,15.518,12.985,20.868,23.213,22.49,20.092,22.207,22.309,19.196,21.169,20.513,15.774,14.835,17.365,14.204,17.227,16.642,19.816,17.647,17.642,17.253,17.363,5.639,7.549,5.276,7.673,4.986,8.107,6.595,7.036,6.691,9.581,8.121,6.018,7.74,4.875,5.858,4.962,7.819,9.621,8.938,9.934,10.036,7.416,8.271,8.202,8.803,7.48,9.746,9.683,11.165,11.495,8.185,11.414,9.602,10.554,13.173,13.993,13.117,14.963,12.073,13.696,13.16,13.706,14.061,13.969,14.5,12.279,16.454,17.205,16.817,18.091,17.966,15.117,15.27,17.036,16.155,19.569,18.87,18.467,17.702,23.634,21.52,24.201,24.988,23.006,23.927,24.564,27.335,26.936,23.75,22.989,21.326,25.142,21.879,25.472,23.613,24.085,24.584,22.427,25.459,23.017,21.678,24.328,26.902,27.24,25.822,24.782,25.384,27.015,23.106,25.248,24.122,26.902,31.132,34.939,18.08,20.443,21.78,28.999,22.922,19.718,19.271,17.653,20.285,21.865,21.643,19.786,22.102,22.288,20.231,18.131,21.726,18.902,21.202,22.055,22.055,27.351,25.609,28.73,32.873,25.132,33.256,30.205,32.808,13.132,13.031,15.439,13.088,12.675,11.64,15.949,10.125,15.797,13.699,16.785,21.721,17.686,16.779,17.312,17.623,20.065,15.072,21.414,13.781,17.081,19.621,18.926,13.506,13.902,13.537,16.201,15.049,32.7,35.485
Handan,4.597,4.577,2.395,5.56,6.884,0.0,1.095,3.622,6.536,6.712,3.494,4.653,2.425,3.642,6.319,3.102,2.492,3.119,6.19,3.547,5.159,4.628,4.211,4.429,8.541,9.035,10.919,8.952,11.75,8.194,20.02,11.452,7.482,10.232,12.161,10.181,11.096,11.066,11.914,8.551,9.937,9.724,11.018,9.344,11.157,9.015,8.539,12.899,13.736,12.373,12.376,12.563,13.304,15.219,15.26,16.403,18.671,19.268,20.471,16.088,18.954,18.634,19.578,17.281,21.002,10.586,8.539,9.333,5.38,9.561,10.556,9.247,6.15,7.025,7.94,8.759,10.01,8.854,6.702,10.975,12.101,14.868,11.003,10.91,11.82,12.984,13.256,13.641,14.963,14.611,8.416,9.263,6.852,7.648,8.753,6.67,10.63,9.65,11.312,8.187,6.16,5.643,7.027,4.667,11.724,9.822,16.726,18.787,18.292,15.666,17.781,17.883,15.009,16.743,17.042,11.066,10.74,11.735,9.496,12.104,12.484,14.954,12.786,12.469,12.545,13.406,2.936,6.015,3.84,4.644,4.739,7.12,5.132,3.471,3.809,8.594,5.785,3.763,5.361,2.976,1.62,4.342,3.47,3.459,3.748,3.769,3.946,1.007,2.121,2.039,2.639,2.384,3.914,4.081,4.999,5.898,3.893,5.812,4.435,4.952,7.982,8.82,7.519,9.365,6.476,8.523,7.562,8.104,8.463,8.796,9.197,6.649,10.824,11.575,11.187,12.461,12.369,9.487,9.672,11.438,10.557,13.94,13.273,12.869,12.104,18.08,15.989,18.699,19.435,18.58,18.341,19.011,21.738,21.338,18.12,18.127,16.9,20.546,17.017,19.913,17.983,18.531,19.03,18.001,19.861,17.419,16.08,18.731,21.304,21.643,20.224,19.184,19.787,21.417,17.508,19.651,18.525,21.304,25.534,29.342,12.482,14.697,16.034,23.253,17.176,13.972,13.526,11.907,14.539,16.119,15.897,14.04,16.356,16.542,14.633,12.488,15.98,13.156,15.456,16.458,16.457,21.754,20.011,23.132,27.275,19.386,27.658,24.608,27.211,7.386,7.366,9.693,7.342,6.741,6.893,10.203,6.324,10.2,7.651,12.048,17.32,13.285,12.378,11.566,13.222,15.664,9.433,17.013,8.142,11.442,13.875,14.525,9.105,10.752,9.136,10.562,10.648,28.299,31.083
Xingtai,4.226,4.206,2.024,5.346,6.67,1.095,0.0,3.251,6.165,6.341,3.349,4.282,2.281,3.117,5.951,2.71,3.23,3.857,5.665,3.022,5.746,4.103,4.958,3.904,8.105,8.51,10.394,8.581,11.379,7.669,19.649,10.927,7.111,10.017,11.947,9.967,10.882,10.852,11.7,8.337,9.723,9.51,10.804,9.13,10.943,8.644,8.325,12.684,13.521,12.158,12.162,12.348,13.09,14.848,15.045,16.032,18.456,19.053,20.256,15.874,18.74,18.42,19.364,17.067,20.787,10.724,9.005,9.472,5.846,9.699,10.694,9.302,6.205,7.08,7.994,8.897,10.148,8.992,7.168,11.208,12.239,15.089,11.142,11.216,12.041,13.205,13.613,13.78,15.101,14.832,8.983,9.729,7.318,8.268,9.22,7.135,11.249,10.269,11.931,8.654,6.779,6.109,7.646,5.286,12.343,10.289,17.345,19.406,18.911,16.285,18.4,18.502,15.628,17.362,17.661,11.685,11.359,12.354,10.115,12.723,13.103,15.573,13.405,13.089,13.164,14.025,2.975,6.054,3.831,4.847,4.651,7.111,5.122,3.938,3.864,8.585,5.84,3.801,5.415,2.832,2.192,4.254,4.066,4.078,4.367,4.389,4.565,1.626,2.74,2.658,3.258,2.956,4.533,4.7,5.62,6.517,4.513,6.431,5.054,5.571,8.601,9.439,8.138,9.984,7.095,9.142,8.181,8.723,9.082,9.415,9.816,7.268,11.443,12.194,11.806,13.08,12.988,10.106,10.291,12.057,11.176,14.559,13.892,13.488,12.723,18.699,16.608,19.318,20.054,19.199,18.96,19.63,22.357,21.957,18.739,18.746,17.519,21.165,17.636,20.532,18.602,19.15,19.649,18.62,20.48,18.038,16.699,19.35,21.923,22.262,20.843,19.803,20.406,22.036,18.127,20.27,19.144,21.923,26.153,29.961,13.101,15.269,16.605,23.825,17.747,14.543,14.097,12.478,15.111,16.69,16.469,14.612,16.928,17.114,15.252,13.063,16.551,13.728,16.028,17.077,17.076,22.373,20.63,23.751,27.894,19.958,28.278,25.227,27.83,7.957,7.856,10.265,7.914,7.362,6.465,10.774,5.799,10.819,8.271,11.858,16.795,12.76,11.853,12.138,12.697,15.139,9.897,16.488,8.607,11.907,14.447,14.0,8.58,10.227,8.611,11.027,10.123,27.774,30.558
Baoding,2.271,2.251,2.299,3.39,4.714,3.622,3.251,0.0,4.288,4.386,1.859,2.327,2.145,3.902,4.071,3.04,5.757,6.384,4.78,3.992,7.365,3.778,6.586,5.389,6.293,7.601,10.047,6.626,9.424,6.928,17.693,10.018,5.234,8.062,9.992,8.012,8.927,8.897,9.745,6.382,7.768,7.555,8.848,7.175,8.988,6.689,6.37,10.729,11.566,10.203,10.207,10.393,11.134,12.893,13.09,14.077,16.501,17.098,18.301,13.919,16.785,16.465,17.409,15.111,18.832,11.588,9.948,10.336,6.974,10.563,11.558,10.166,7.069,7.944,8.858,9.761,11.012,9.857,8.166,12.072,13.103,15.953,12.006,12.08,12.905,14.069,14.477,14.644,15.965,15.696,10.111,10.857,8.446,9.401,10.163,8.263,12.415,11.522,13.111,9.711,8.648,7.237,9.56,7.077,13.596,11.435,18.905,21.25,20.527,18.129,20.245,20.346,17.233,19.207,19.053,13.764,12.873,14.881,12.195,14.803,14.679,17.653,15.484,15.168,15.244,15.586,3.839,6.613,4.34,5.711,4.051,7.171,5.659,5.074,4.728,8.645,6.704,4.665,6.279,2.819,3.847,4.026,5.808,6.605,6.447,6.916,7.091,4.153,5.267,5.184,5.785,5.003,7.06,7.177,7.842,8.998,6.174,8.908,7.134,8.048,10.699,11.519,10.62,12.466,9.576,11.222,10.663,11.2,11.564,11.495,12.026,9.795,13.97,14.721,14.333,15.607,15.469,12.633,12.773,14.539,13.658,17.086,16.373,15.97,15.205,21.226,19.134,21.845,22.58,21.043,21.486,22.156,24.838,24.439,21.266,20.826,19.363,23.158,19.716,23.059,21.129,21.677,22.176,20.465,22.962,20.52,19.181,21.831,24.404,24.743,23.325,22.285,22.887,24.518,20.609,22.751,21.625,24.405,28.635,32.442,15.583,16.887,18.224,25.443,19.366,16.162,15.716,14.097,16.729,18.309,18.087,16.23,18.546,18.732,17.026,14.682,18.17,15.346,17.646,19.558,19.558,24.854,23.112,26.233,30.376,21.576,30.759,27.708,30.311,9.576,9.475,11.883,9.532,9.119,8.084,12.393,6.494,12.672,10.143,13.153,18.09,14.055,13.147,13.756,13.992,16.434,11.516,17.783,10.225,13.525,16.065,15.295,9.875,10.92,9.906,12.629,11.418,29.069,31.853
Zhangjiakou,2.619,3.894,5.17,4.408,5.438,6.536,6.165,4.288,0.0,4.33,4.714,3.424,5.187,5.329,2.425,5.637,7.929,8.538,3.917,5.856,8.941,4.86,8.163,6.862,3.604,5.558,8.685,6.377,8.745,5.565,15.226,7.977,2.339,8.763,10.693,8.712,9.628,9.597,10.445,7.083,8.468,7.819,9.549,7.876,9.689,6.642,7.071,10.957,11.971,10.431,10.816,11.094,11.835,10.426,13.318,11.61,16.882,17.326,18.529,13.594,17.012,16.692,17.783,15.493,18.745,14.629,12.989,13.377,10.015,13.604,14.599,13.207,10.11,10.985,11.899,12.802,14.053,12.898,11.207,15.113,16.144,18.994,15.047,15.121,15.946,17.11,17.518,17.685,19.007,18.737,13.152,13.898,11.487,12.443,13.204,11.304,15.456,14.564,16.152,12.752,11.689,10.278,12.601,10.118,16.637,14.476,21.947,24.291,23.568,21.171,23.286,23.387,20.274,22.248,22.094,16.805,15.914,17.795,15.236,17.844,17.721,20.694,18.526,18.209,18.285,18.627,6.88,9.176,6.902,8.752,6.613,9.734,8.221,8.115,7.769,11.208,9.745,7.644,9.321,5.86,6.888,6.588,8.849,9.519,9.488,9.224,10.006,7.067,8.181,8.099,8.686,8.044,9.975,10.141,9.419,11.953,9.215,11.872,10.175,11.012,13.74,14.56,13.48,15.425,12.536,14.263,13.622,14.164,14.524,14.536,15.067,12.709,16.884,17.635,17.248,18.521,18.429,15.548,15.732,17.498,16.617,20.0,19.333,18.929,18.164,24.14,22.049,24.759,25.495,24.084,24.401,25.071,27.798,27.398,24.18,23.867,22.404,26.199,22.757,25.973,24.043,24.591,25.09,23.506,25.922,23.479,22.141,24.791,27.364,27.703,26.284,25.245,25.847,27.477,23.569,25.711,24.585,27.365,31.594,35.402,18.008,18.464,19.8,27.02,20.942,17.738,17.292,15.673,18.306,19.885,19.664,17.807,20.123,20.309,18.602,16.258,19.746,16.923,19.223,22.518,22.518,27.035,26.071,28.413,32.556,23.153,32.94,29.889,32.492,11.153,10.982,13.46,11.109,10.695,9.395,13.969,6.994,14.249,11.719,13.634,18.421,14.386,13.628,15.333,14.323,16.766,13.034,18.114,11.744,14.466,17.642,15.775,9.38,9.557,9.943,13.111,11.75,29.401,32.185
Chengde,2.306,3.007,5.389,2.249,3.244,6.712,6.341,4.386,4.33,0.0,3.824,3.026,5.051,7.045,5.352,6.154,8.847,9.475,6.844,7.135,10.507,6.921,9.729,8.532,6.935,8.889,12.013,2.481,5.279,8.893,13.549,11.308,5.671,5.153,7.274,5.293,6.028,6.121,7.026,3.663,5.05,3.698,6.13,4.457,5.845,2.521,4.328,6.836,7.851,6.31,6.744,7.49,8.232,8.748,9.197,9.932,12.762,13.205,14.408,9.945,12.892,12.571,13.662,11.372,14.939,13.418,11.81,12.166,9.306,12.393,13.388,11.996,8.899,9.774,10.688,11.591,12.842,11.687,10.498,13.902,14.933,17.783,13.836,13.91,14.735,15.899,16.307,16.474,17.795,17.526,12.443,12.888,10.778,11.733,12.025,10.595,14.497,13.854,15.032,12.043,11.028,9.569,11.94,9.457,15.887,13.354,21.237,23.582,22.859,20.461,22.577,22.678,19.565,21.539,20.883,16.143,15.205,17.692,14.573,17.596,17.011,20.185,18.017,17.997,17.622,17.733,6.008,7.918,5.645,8.043,5.356,8.476,6.964,7.406,7.06,9.95,8.491,6.387,8.109,5.244,6.227,5.331,8.188,9.696,9.28,10.006,10.182,7.244,8.357,8.275,8.875,7.822,10.073,10.01,10.985,11.823,8.554,11.741,9.959,10.881,13.527,14.347,13.444,15.29,12.4,14.05,13.487,14.033,14.388,14.323,14.854,12.606,16.781,17.532,17.144,18.418,18.293,15.444,15.597,17.363,16.482,19.896,19.198,18.794,18.029,24.003,21.89,24.57,25.358,23.375,24.296,24.934,27.663,27.263,24.077,23.358,21.695,25.511,22.248,25.841,23.94,24.454,24.953,22.797,25.786,23.344,22.005,24.655,27.229,27.567,26.149,25.109,25.711,27.342,23.433,25.575,24.449,27.229,31.459,35.266,18.407,20.03,21.367,28.586,22.508,19.305,18.858,17.24,19.872,21.452,21.23,19.373,21.689,21.875,20.168,17.825,21.313,18.489,20.789,22.383,22.382,27.679,25.936,29.057,33.2,24.719,33.583,30.533,33.136,12.719,12.618,15.026,12.675,12.261,11.226,15.536,9.637,15.815,13.286,16.296,21.232,17.197,16.29,16.899,17.134,19.577,14.659,20.925,13.368,16.668,19.208,18.438,12.709,12.885,13.049,15.771,14.561,32.212,34.996
