source,target,distance
AAP,BOP,1.0
AAP,HRN,1.43
AAP,NSG,2.37
AAP,PAL,2.38
AAT,ACN,10.03
AAT,LCC,6.36
ABA,CMH,2.5
ABC,FRS,11.71
ABC,SCT,13.8
ABD,DYC,9.01
ABD,MTS,52.98
ABD,PLN,9.25
ABD,STN,21.07
ABE,CPH,0.87
ABE,ECP,0.98
ABE,LNB,3.15
ABH,PNC,2.43
ABH,PWL,3.09
ABW,BNH,4.03
ABW,BVD,2.2
ABW,PLU,2.5
ABW,SGR,5.49
ABW,WWC,3.36
ABY,BLV,1.38
ABY,GTO,1.82
ABY,GUI,5.35
ABY,MAN,2.37
ACB,HTF,4.23
ACB,RUN,12.16
ACC,SAT,1.11
ACC,WIJ,2.95
ACG,BMO,5.98
ACG,OLT,1.56
ACG,TYS,1.46
ACH,ACN,18.94
ACH,STC,8.74
ACK,ALM,9.54
ACK,WDD,7.65
ACL,GYM,12.21
ACL,LGD,3.9
ACN,AAT,10.03
ACN,ACH,18.94
ACR,BBN,7.22
ACR,BYM,8.71
ACR,CTW,1.41
ACR,HCT,2.64
ACR,RSG,6.87
ACT,BAG,4.74
ACT,MAO,3.39
ACT,SNG,3.37
ACY,PER,3.61
ACY,PPD,5.14
ACY,QYD,1.8
ADC,PRB,3.02
ADC,PYT,3.43
ADD,BHM,2.92
ADD,SCF,3.05
ADK,ABY,1.3
ADL,BLK,3.25
ADL,CRL,4.67
ADM,AYH,1.71
ADM,BKS,4.89
ADN,ADS,0.53
ADN,ASB,0.74
ADR,CBS,2.85
ADR,COA,1.38
ADR,DRU,1.81
ADS,ADN,0.53
ADV,BSK,28.9
ADV,GRT,10.08
ADV,SAL,26.96
ADV,WCH,11.11
ADW,BRC,4.24
ADW,WCL,2.72
AFK,CBW,20.9
AFK,CHG,9.34
AFK,EBD,50.98
AFK,FKW,20.48
AFK,HCN,17.52
AFK,HMT,8.51
AFK,PLC,9.1
AFK,SFA,75.97
AFK,WHA,12.52
AFK,WYE,5.9
AFS,FEL,4.23
AFS,SNS,2.47
AFV,LTM,1.93
AFV,SAS,2.71
AGL,CWB,9.5
AGL,RHL,6.76
AGS,BDG,1.8
AGS,GLC,0.51
AGS,RUT,3.83
AGT,HOV,0.75
AGT,PLD,1.7
AGV,CWM,17.81
AGV,HFD,34.16
AGV,NWP,25.25
AGV,PPL,13.21
AHD,EPS,3.3
AHD,LHD,2.74
AHN,MCV,9.88
AHN,SYB,2.22
AHS,CWN,4.22
AHS,ERI,5.58
AHT,AHV,3.92
AHT,ASH,3.3
AHT,FNH,4.46
AHV,AHT,3.92
AHV,BKO,6.93
AHV,FML,4.75
AIG,CSG,1.2
AIG,STM,2.1
AIN,OPK,1.42
AIN,ORN,1.48
AIR,HNC,2.99
AIR,MTH,0.98
ALB,COS,2.63
ALB,CSL,4.68
ALD,CEL,4.64
ALD,HCH,13.92
ALD,WML,2.66
ALF,CHD,15.69
ALF,ILN,14.36
ALF,LGM,9.52
ALF,NOT,22.65
ALK,BIN,3.6
ALK,BTF,6.91
ALK,ELO,2.89
ALK,GRA,17.88
ALM,ACK,9.54
ALM,BWK,48.61
ALM,CHT,16.64
ALM,DUN,86.95
ALM,EDB,115.53
ALM,MPT,25.74
ALM,NCL,47.2
ALN,BUU,4.53
ALN,NFA,4.89
ALO,STG,9.03
ALP,CWE,5.62
ALP,SCU,5.39
ALR,GRB,4.71
ALR,WIV,2.8
ALT,HAL,0.97
ALT,NVR,0.92
ALV,BTG,2.37
ALV,RDC,4.68
ALW,DND,6.77
ALW,EAG,1.08
ALX,BHC,2.02
ALX,RTN,1.72
AMB,BLP,4.0
AMB,WTS,2.97
AMF,LLI,2.83
AMF,PTF,1.9
AML,EAL,2.37
AML,PAD,6.28
AMR,CFO,3.32
AMR,GMN,7.72
AMT,MDG,2.78
AMT,THA,7.3
AMT,THE,5.64
AMY,ARU,5.4
AMY,BAA,10.03
AMY,PUL,6.98
ANC,GRA,11.55
ANC,RAU,5.3
AND,EXG,0.75
AND,GLC,0.89
ANF,BCU,8.76
ANF,BEU,4.16
ANF,TTN,4.42
ANG,BAA,10.68
ANG,FOD,6.43
ANG,GBS,3.96
ANG,LIT,4.04
ANG,WRH,7.96
ANL,HYN,1.17
ANL,KVD,0.87
ANL,WES,1.89
ANN,DMF,23.92
ANN,GEA,12.79
ANS,FRE,4.42
ANS,HIL,2.55
ANZ,CYP,0.73
ANZ,NWD,1.9
ANZ,PNW,0.61
AON,BTY,7.62
AON,FNH,13.87
APB,GST,2.7
APB,PBL,3.66
APD,HMT,4.73
APD,RYE,10.81
APF,CUM,1.62
APF,DID,3.19
APG,RID,2.65
APG,WOB,1.53
APP,KSW,15.88
APP,LGW,17.05
APS,HML,2.21
APS,KGL,3.37
APS,WFJ,8.94
APY,KLF,5.88
APY,SHY,4.71
ARB,BYF,20.25
ARB,CAN,9.76
ARB,DEE,26.12
ARB,MTS,18.48
ARB,STN,50.43
ARD,CUA,4.94
ARD,TAI,19.82
ARG,BSL,4.79
ARG,MRR,6.44
ARL,BIW,6.53
ARL,HIT,8.09
ARM,BHG,3.09
ARM,BKR,4.09
ARN,GOS,4.94
ARN,SVR,3.9
ARR,BEV,4.71
ARR,HUT,7.92
ART,AUI,10.9
ART,GCH,15.21
ARU,AMY,5.4
ARU,FOD,3.08
ASB,ADN,0.74
ASB,SLT,1.35
ASB,WKB,6.86
ASC,CNM,11.34
ASC,WOP,17.79
ASC,WOS,22.81
ASF,GLQ,2.96
ASF,PPK,0.57
ASG,CRE,8.98
ASG,KDG,3.66
ASH,AHT,3.3
ASH,GLD,9.32
ASH,NCM,3.18
ASH,WAN,3.2
ASK,BIF,7.92
ASK,KBF,4.92
ASK,MLM,4.96
ASN,BFN,2.59
ASN,CHY,2.35
ASN,WYB,2.24
ASP,MRY,11.74
ASP,WGT,13.26
ASS,DIN,15.16
ASS,IGD,4.46
AST,BHM,3.5
AST,DUD,1.87
AST,GVH,1.7
AST,WTT,1.14
ASY,HAL,2.56
ASY,MOB,2.94
ATB,BEE,2.25
ATB,EMD,5.19
ATB,LGE,4.49
ATH,NUN,8.39
ATH,TAM,11.15
ATL,ECS,6.0
ATL,SPN,4.9
ATL,TTF,21.58
ATL,WMD,8.54
ATN,DSY,2.75
ATN,HGF,1.23
ATN,WKD,5.51
ATT,STC,3.53
ATT,STF,7.3
AUD,BIS,15.59
AUD,CBG,21.68
AUD,GRC,6.23
AUD,NWE,2.79
AUD,SSD,13.4
AUD,WLF,11.39
AUG,OMS,1.83
AUG,TWN,1.44
AUI,ART,10.9
AUI,CNR,11.72
AUK,KMK,20.31
AUK,NCK,10.27
AUR,BTS,4.19
AUR,DAG,4.4
AVF,BOA,2.1
AVF,FFD,1.39
AVM,CAG,10.06
